_gram-name_	ADJECTIVE_COMPARATIVE_LONG	ADJECTIVE_COMPARATIVE_LONG
_gram-path_	ADJECTIVE_COMPARATIVE_LONG	ADJECTIVE_COMPARATIVE_LONG
_gram-helpText_	ADJECTIVE_COMPARATIVE_LONG	<INSERT_HELP_TEXT>
_gram-name_	ADJECTIVE_COMPARATIVE_SHORT	Komparative (Adjektive)
_gram-path_	ADJECTIVE_COMPARATIVE_SHORT	Adjektive, Adverben und Zahlworte > Komparative (Adjektive)
_gram-helpText_	ADJECTIVE_COMPARATIVE_SHORT	freundlicher, blauer, größer
_gram-name_	ADJECTIVE_POSITIVE	Adjektive
_gram-path_	ADJECTIVE_POSITIVE	Adjektive, Adverben und Zahlworte > Adjektive
_gram-helpText_	ADJECTIVE_POSITIVE	freundlich, blau, groß
_gram-name_	ADJECTIVE_SUPERLATIVE_LONG	ADJECTIVE_SUPERLATIVE_LONG
_gram-path_	ADJECTIVE_SUPERLATIVE_LONG	ADJECTIVE_SUPERLATIVE_LONG
_gram-helpText_	ADJECTIVE_SUPERLATIVE_LONG	<INSERT_HELP_TEXT>
_gram-name_	ADJECTIVE_SUPERLATIVE_SHORT	Superlative (Adjektive)
_gram-path_	ADJECTIVE_SUPERLATIVE_SHORT	Adjektive, Adverben und Zahlworte > Superlative (Adjektive)
_gram-helpText_	ADJECTIVE_SUPERLATIVE_SHORT	am freundlichsten, am größten
_gram-name_	ADVERB_COMPARATIVE_LONG	ADVERB_COMPARATIVE_LONG
_gram-path_	ADVERB_COMPARATIVE_LONG	ADVERB_COMPARATIVE_LONG
_gram-helpText_	ADVERB_COMPARATIVE_LONG	<INSERT_HELP_TEXT>
_gram-name_	ADVERB_COMPARATIVE_SHORT	Komparative (Adverben)
_gram-path_	ADVERB_COMPARATIVE_SHORT	Adjektive, Adverben und Zahlworte > Komparative (Adverben)
_gram-helpText_	ADVERB_COMPARATIVE_SHORT	höher, schneller
_gram-name_	ADVERB_POSITIVE	Adverben
_gram-path_	ADVERB_POSITIVE	Adjektive, Adverben und Zahlworte > Adverben
_gram-helpText_	ADVERB_POSITIVE	grundsätzlich, sofort, klugerweise
_gram-name_	ADVERB_SUPERLATIVE_LONG	Superlativ (Adverben)
_gram-path_	ADVERB_SUPERLATIVE_LONG	Adjektive, Adverben und Zahlworte > Superlativ (Adverben)
_gram-helpText_	ADVERB_SUPERLATIVE_LONG	am höchsten, am schnellsten
_gram-name_	ADVERB_SUPERLATIVE_SHORT	ADVERB_SUPERLATIVE_SHORT
_gram-path_	ADVERB_SUPERLATIVE_SHORT	ADVERB_SUPERLATIVE_SHORT
_gram-helpText_	ADVERB_SUPERLATIVE_SHORT	<INSERT_HELP_TEXT>
_gram-name_	ARTICLES	Alle Artikel
_gram-path_	ARTICLES	Artikel > Alle Artikel
_gram-helpText_	ARTICLES	der, die, eine, einer
_gram-name_	ARTICLE_A	Unbestimmte Artikel
_gram-path_	ARTICLE_A	Artikel > Unbestimmte Artikel
_gram-helpText_	ARTICLE_A	eine, einer, eines
_gram-name_	ARTICLE_AN	ARTICLE_AN
_gram-path_	ARTICLE_AN	ARTICLE_AN
_gram-helpText_	ARTICLE_AN	<INSERT_HELP_TEXT>
_gram-name_	ARTICLE_THE	Bestimmte Artikel
_gram-path_	ARTICLE_THE	Artikel > Bestimmte Artikel
_gram-helpText_	ARTICLE_THE	der, die, das
_gram-name_	ASPECT_PERFECT	ASPECT_PERFECT
_gram-path_	ASPECT_PERFECT	ASPECT_PERFECT
_gram-helpText_	ASPECT_PERFECT	<INSERT_HELP_TEXT>
_gram-name_	ASPECT_PERFECT_PROGRESSIVE	ASPECT_PERFECT_PROGRESSIVE
_gram-path_	ASPECT_PERFECT_PROGRESSIVE	ASPECT_PERFECT_PROGRESSIVE
_gram-helpText_	ASPECT_PERFECT_PROGRESSIVE	<INSERT_HELP_TEXT>
_gram-name_	ASPECT_PROGRESSIVE	ASPECT_PROGRESSIVE
_gram-path_	ASPECT_PROGRESSIVE	ASPECT_PROGRESSIVE
_gram-helpText_	ASPECT_PROGRESSIVE	<INSERT_HELP_TEXT>
_gram-name_	ASPECT_SIMPLE	ASPECT_SIMPLE
_gram-path_	ASPECT_SIMPLE	ASPECT_SIMPLE
_gram-helpText_	ASPECT_SIMPLE	<INSERT_HELP_TEXT>
_gram-name_	ATTRIBUTES_ADJECTIVE	Adjektivattribut
_gram-path_	ATTRIBUTES_ADJECTIVE	Nomen > Attribute > Adjektivattribut
_gram-helpText_	ATTRIBUTES_ADJECTIVE	der schwarze Kater
_gram-name_	ATTRIBUTES_PARTICIPLE_1	Partizipialattribut I
_gram-path_	ATTRIBUTES_PARTICIPLE_1	Nomen > Attribute > Partizipialattribut I
_gram-helpText_	ATTRIBUTES_PARTICIPLE_1	zB: das rennende Kanninchen
_gram-name_	ATTRIBUTES_PARTICIPLE_2	Partizipialattribut II
_gram-path_	ATTRIBUTES_PARTICIPLE_2	Nomen > Attribute > Partizipialattribut II
_gram-helpText_	ATTRIBUTES_PARTICIPLE_2	zB: der gelaufene Marathon
_gram-name_	ATTRIBUTES_PREPOSITION	Präpositionalattribut
_gram-path_	ATTRIBUTES_PREPOSITION	Nomen > Attribute > Präpositionalattribut
_gram-helpText_	ATTRIBUTES_PREPOSITION	zB: die Zerstörung von Rom
_gram-name_	CARDINALS	Zahlworte
_gram-path_	CARDINALS	Adjektive, Adverben und Zahlworte > Zahlworte
_gram-helpText_	CARDINALS	eins, 2, 323c
_gram-name_	CLAUSE_ADVERBIAL	Adverbial
_gram-path_	CLAUSE_ADVERBIAL	Nebensatztypen > Adverbial
_gram-helpText_	CLAUSE_ADVERBIAL	(Sie arbeitet viel,) weil sie Ärztin ist.
_gram-name_	CLAUSE_DASS	Dass-Satz
_gram-path_	CLAUSE_DASS	Nebensatztypen > Dass-Satz
_gram-helpText_	CLAUSE_DASS	(Ich weiß,) dass sie Ärztin ist.
_gram-name_	CLAUSE_RELATIVE	Relativ
_gram-path_	CLAUSE_RELATIVE	Nebensatztypen > Relativ
_gram-helpText_	CLAUSE_RELATIVE	(die Frau,) die Ärztin ist
_gram-name_	CLAUSE_RELATIVE_REDUCED	CLAUSE_RELATIVE_REDUCED
_gram-path_	CLAUSE_RELATIVE_REDUCED	CLAUSE_RELATIVE_REDUCED
_gram-helpText_	CLAUSE_RELATIVE_REDUCED	<INSERT_HELP_TEXT>
_gram-name_	CLAUSE_SUBORDINATE	Subordiniert
_gram-path_	CLAUSE_SUBORDINATE	Satztypen > Subordiniert
_gram-helpText_	CLAUSE_SUBORDINATE	Ich weiß nicht, wo ich bin.
_gram-name_	CONDITIONALS	CONDITIONALS
_gram-path_	CONDITIONALS	CONDITIONALS
_gram-helpText_	CONDITIONALS	<INSERT_HELP_TEXT>
_gram-name_	CONDITIONALS_REAL	CONDITIONALS_REAL
_gram-path_	CONDITIONALS_REAL	CONDITIONALS_REAL
_gram-helpText_	CONDITIONALS_REAL	<INSERT_HELP_TEXT>
_gram-name_	CONDITIONALS_UNREAL	CONDITIONALS_UNREAL
_gram-path_	CONDITIONALS_UNREAL	CONDITIONALS_UNREAL
_gram-helpText_	CONDITIONALS_UNREAL	<INSERT_HELP_TEXT>
_gram-name_	CONJUNCTIONS_ADVANCED	CONJUNCTIONS_ADVANCED
_gram-path_	CONJUNCTIONS_ADVANCED	CONJUNCTIONS_ADVANCED
_gram-helpText_	CONJUNCTIONS_ADVANCED	<INSERT_HELP_TEXT>
_gram-name_	CONJUNCTIONS_SIMPLE	CONJUNCTIONS_SIMPLE
_gram-path_	CONJUNCTIONS_SIMPLE	CONJUNCTIONS_SIMPLE
_gram-helpText_	CONJUNCTIONS_SIMPLE	<INSERT_HELP_TEXT>
_gram-name_	DETERMINER_ANY	irgend...
_gram-path_	DETERMINER_ANY	Indefinite Quantifizierer > irgend...
_gram-helpText_	DETERMINER_ANY	irgendeine, irgendeiner, irgendeines
_gram-name_	DETERMINER_A_LOT_OF	DETERMINER_A_LOT_OF
_gram-path_	DETERMINER_A_LOT_OF	DETERMINER_A_LOT_OF
_gram-helpText_	DETERMINER_A_LOT_OF	<INSERT_HELP_TEXT>
_gram-name_	DETERMINER_MANY	viel, viele, ...
_gram-path_	DETERMINER_MANY	Indefinite Quantifizierer > viel, viele, ...
_gram-helpText_	DETERMINER_MANY	viel, viele
_gram-name_	DETERMINER_MUCH	DETERMINER_MUCH
_gram-path_	DETERMINER_MUCH	DETERMINER_MUCH
_gram-helpText_	DETERMINER_MUCH	<INSERT_HELP_TEXT>
_gram-name_	DETERMINER_SOME	einige, manche, ...
_gram-path_	DETERMINER_SOME	Indefinite Quantifizierer > einige, manche, ...
_gram-helpText_	DETERMINER_SOME	einige, manche
_gram-name_	EXISTENTIAL_THERE	Existentielles "es gibt"
_gram-path_	EXISTENTIAL_THERE	Sätze > Satztypen > Existentielles "es gibt"
_gram-helpText_	EXISTENTIAL_THERE	Es gibt Dinge / Leute / Situationen ...
_gram-name_	IMPERATIVES	Imperative
_gram-path_	IMPERATIVES	Verben > Verbformen > Imperative
_gram-helpText_	IMPERATIVES	Iss! Schlaf! Halt!
_gram-name_	MODALS	Modalverben
_gram-path_	MODALS	Verben > Verbtypen > Modalverben
_gram-helpText_	MODALS	können, müssen, wollen
_gram-name_	MODALS_ABLE	MODALS_ABLE
_gram-path_	MODALS_ABLE	MODALS_ABLE
_gram-helpText_	MODALS_ABLE	<INSERT_HELP_TEXT>
_gram-name_	MODALS_ADVANCED	MODALS_ADVANCED
_gram-path_	MODALS_ADVANCED	MODALS_ADVANCED
_gram-helpText_	MODALS_ADVANCED	<INSERT_HELP_TEXT>
_gram-name_	MODALS_CAN	Modalverb "können"
_gram-path_	MODALS_CAN	Verben > Verbtypen > Modalverb "können"
_gram-helpText_	MODALS_CAN	kann, konntest, gekonnt
_gram-name_	MODALS_COULD	MODALS_COULD
_gram-path_	MODALS_COULD	MODALS_COULD
_gram-helpText_	MODALS_COULD	<INSERT_HELP_TEXT>
_gram-name_	MODALS_HAVE_TO	Modalverb "müssen"
_gram-path_	MODALS_HAVE_TO	Verben > Verbtypen > Modalverb "müssen"
_gram-helpText_	MODALS_HAVE_TO	muss, musstest, gemusst
_gram-name_	MODALS_MAY	Modalverb "dürfen"
_gram-path_	MODALS_MAY	Verben > Verbtypen > Modalverb "dürfen"
_gram-helpText_	MODALS_MAY	darf, durftest, gedurft
_gram-name_	MODALS_MIGHT	MODALS_MIGHT
_gram-path_	MODALS_MIGHT	MODALS_MIGHT
_gram-helpText_	MODALS_MIGHT	<INSERT_HELP_TEXT>
_gram-name_	MODALS_MUST	MODALS_MUST
_gram-path_	MODALS_MUST	MODALS_MUST
_gram-helpText_	MODALS_MUST	<INSERT_HELP_TEXT>
_gram-name_	MODALS_NEED	Modalverb "brauchen"
_gram-path_	MODALS_NEED	Verben > Verbtypen > Modalverb "brauchen"
_gram-helpText_	MODALS_NEED	brauche, brauchtest, gebraucht
_gram-name_	MODALS_OUGHT	Modalverb "sollen"
_gram-path_	MODALS_OUGHT	Verben > Verbtypen > Modalverb "sollen"
_gram-helpText_	MODALS_OUGHT	soll, solltest, gesollt
_gram-name_	MODALS_SIMPLE	MODALS_SIMPLE
_gram-path_	MODALS_SIMPLE	MODALS_SIMPLE
_gram-helpText_	MODALS_SIMPLE	<INSERT_HELP_TEXT>
_gram-name_	NEGATION_ALL	Negation 
_gram-path_	NEGATION_ALL	Negation > Negation
_gram-helpText_	NEGATION_ALL	kein, kaum, nie, ...
_gram-name_	NEGATION_NOT	NEGATION_NOT
_gram-path_	NEGATION_NOT	NEGATION_NOT
_gram-helpText_	NEGATION_NOT	<INSERT_HELP_TEXT>
_gram-name_	NEGATION_NO_NOT_NEVER	Volle Negation 
_gram-path_	NEGATION_NO_NOT_NEVER	Negation > Volle Negation
_gram-helpText_	NEGATION_NO_NOT_NEVER	kein, nichts, nirgends, ... 
_gram-name_	NEGATION_NT	NEGATION_NT
_gram-path_	NEGATION_NT	NEGATION_NT
_gram-helpText_	NEGATION_NT	<INSERT_HELP_TEXT>
_gram-name_	NEGATION_PARTIAL	Partielle Negation 
_gram-path_	NEGATION_PARTIAL	Negation > Partielle Negation
_gram-helpText_	NEGATION_PARTIAL	kaum, selten, ...
_gram-name_	NOUNFORMS_ING	NOUNFORMS_ING
_gram-path_	NOUNFORMS_ING	NOUNFORMS_ING
_gram-helpText_	NOUNFORMS_ING	<INSERT_HELP_TEXT>
_gram-name_	NOUNS_ISMUS	-ismus Nominalisierungen
_gram-path_	NOUNS_ISMUS	Nomen > Nominalisierungen > -ismus
_gram-helpText_	NOUNS_ISMUS	Naturalismus, Pluralismus, etc.
_gram-name_	NOUNS_TUR	-tur Nominalisierungen 
_gram-path_	NOUNS_TUR	Nomen > Nominalisierungen > -tur
_gram-helpText_	NOUNS_TUR	Natur, Statur, etc.
_gram-name_	NOUNS_UNG	-ung Nominalisierungen
_gram-path_	NOUNS_UNG	Nomen > Nominalisierungen > -ung
_gram-helpText_	NOUNS_UNG	Schenkung, Schulung, etc.
_gram-name_	OBJECT_DIRECT	OBJECT_DIRECT
_gram-path_	OBJECT_DIRECT	OBJECT_DIRECT
_gram-helpText_	OBJECT_DIRECT	<INSERT_HELP_TEXT>
_gram-name_	OBJECT_INDIRECT	OBJECT_INDIRECT
_gram-path_	OBJECT_INDIRECT	OBJECT_INDIRECT
_gram-helpText_	OBJECT_INDIRECT	<INSERT_HELP_TEXT>
_gram-name_	PARTICLE_PLUS_ADJ_ADV	Adjektiv- und Adverbpartikel
_gram-path_	PARTICLE_PLUS_ADJ_ADV	Adjektive, Adverben und Zahlworte > Adjektiv- und Adverbpartikel
_gram-helpText_	PARTICLE_PLUS_ADJ_ADV	zu spät, zu kalt
_gram-name_	PASSIVE_VOICE	PASSIVE_VOICE
_gram-path_	PASSIVE_VOICE	PASSIVE_VOICE
_gram-helpText_	PASSIVE_VOICE	<INSERT_HELP_TEXT>
_gram-name_	PASSIVE_VOICE_SEIN	sein-Passiv
_gram-path_	PASSIVE_VOICE_SEIN	Verben > Passiv > Passiv mit "sein"
_gram-helpText_	PASSIVE_VOICE_SEIN	ist geschlossen, ist gebacken
_gram-name_	PASSIVE_VOICE_WERDEN	werden-Passiv
_gram-path_	PASSIVE_VOICE_WERDEN	Verben > Passiv > Passiv mit "werden"
_gram-helpText_	PASSIVE_VOICE_WERDEN	wird geschlossen, wird gebacken
_gram-name_	PLURAL_IRREGULAR	PLURAL_IRREGULAR
_gram-path_	PLURAL_IRREGULAR	PLURAL_IRREGULAR
_gram-helpText_	PLURAL_IRREGULAR	<INSERT_HELP_TEXT>
_gram-name_	PLURAL_REGULAR	PLURAL_REGULAR
_gram-path_	PLURAL_REGULAR	PLURAL_REGULAR
_gram-helpText_	PLURAL_REGULAR	<INSERT_HELP_TEXT>
_gram-name_	PREPOSITIONS	Präpositionen (gesamt)
_gram-path_	PREPOSITIONS	Präpositionen > Präpositionen (gesamt)
_gram-helpText_	PREPOSITIONS	auf, unter, zufolge, wegen
_gram-name_	PREPOSITIONS_ADVANCED	Postposition
_gram-path_	PREPOSITIONS_ADVANCED	Präpositionen > Postposition
_gram-helpText_	PREPOSITIONS_ADVANCED	zufolge, wegen
_gram-name_	PREPOSITIONS_COMPLEX	PREPOSITIONS_COMPLEX
_gram-path_	PREPOSITIONS_COMPLEX	PREPOSITIONS_COMPLEX
_gram-helpText_	PREPOSITIONS_COMPLEX	<INSERT_HELP_TEXT>
_gram-name_	PREPOSITIONS_SIMPLE	Präposition 
_gram-path_	PREPOSITIONS_SIMPLE	Präpositionen > Präposition
_gram-helpText_	PREPOSITIONS_SIMPLE	auf, unter, neben
_gram-name_	PRONOUNS	Pronomen (gesamt)
_gram-path_	PRONOUNS	Pronomen > Pronomen (gesamt)
_gram-helpText_	PRONOUNS	dieser, er, mein, ...
_gram-name_	PRONOUNS_DEMONSTRATIVE	Demonstrativpronomen 
_gram-path_	PRONOUNS_DEMONSTRATIVE	Pronomen > Demonstrativpronomen
